Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,33.85,34.25,33.60,34.05,33.919544250360765900,1160725,2921,39371263.00,296568,25.55,0.65,0.20
29-December-2016,33.30,33.65,32.70,33.45,33.342676633948693949,1055587,2519,35196096.00,233964,22.16,0.95,0.15
28-December-2016,33.30,33.85,33.10,33.30,33.467855179766084436,1413587,3186,47309725.00,257037,18.18,0.75,0.00
27-December-2016,33.10,33.40,32.60,33.30,33.091230595206643297,1411829,2961,46719159.00,305887,21.67,0.80,0.20
26-December-2016,34.70,34.80,32.85,33.05,33.330564889012949888,2500562,4497,83345144.00,702675,28.10,1.95,-1.65
23-December-2016,35.30,35.75,34.60,34.75,35.003139954997010551,2418506,4371,84655304.00,510635,21.11,1.15,-0.55
22-December-2016,37.30,37.90,35.60,35.85,36.570612078215724329,2860141,6120,104597107.00,697795,24.40,2.30,-1.45
21-December-2016,35.60,38.50,35.50,37.45,37.633911596162944604,5827281,12375,219303378.00,949574,16.30,3.00,1.85
20-December-2016,36.10,36.10,34.85,35.05,35.257064308875954160,695114,1793,24507679.00,252866,36.38,1.25,-1.05
19-December-2016,35.35,36.60,35.35,36.05,35.974948854804791076,699968,1776,25181313.00,226363,32.34,1.25,0.70
16-December-2016,35.85,35.95,35.25,35.65,35.627209143169997262,730600,1947,26029239.00,289138,39.58,0.70,-0.20
15-December-2016,35.65,36.10,35.60,35.80,35.872173097993562966,467296,1153,16762923.00,116535,24.94,0.50,0.15
14-December-2016,36.55,36.55,35.70,35.85,36.011413289819599311,661860,1515,23834514.00,210387,31.79,0.85,-0.70
13-December-2016,36.10,36.25,35.75,36.05,36.008963886826193038,527896,1215,19008988.00,153767,29.13,0.50,-0.05
12-December-2016,37.00,37.00,35.75,36.00,36.149485646497792676,677744,1765,24500097.00,276856,40.85,1.25,-1.00
9-December-2016,36.80,37.15,36.60,36.90,36.845904169067780875,727093,1942,26790399.00,261322,35.94,0.55,0.10
8-December-2016,36.50,37.10,36.30,36.55,36.614616603515810910,1250181,2006,45774898.00,624863,49.98,0.80,0.05
7-December-2016,36.45,36.70,35.75,36.45,36.413256307981742180,1181083,2145,43007078.00,530358,44.90,0.95,0.00
6-December-2016,36.15,36.70,36.10,36.20,36.355348832763243632,627679,1778,22819489.00,181651,28.94,0.60,0.05
5-December-2016,36.00,36.40,35.55,36.15,35.961528340834347621,953871,2451,34302659.00,249326,26.14,0.85,0.15
2-December-2016,35.40,36.35,35.20,35.85,35.853796139367955829,1254406,3358,44975217.00,265189,21.14,1.15,0.45
1-December-2016,37.70,37.70,35.60,35.75,36.410027670718450439,2023800,4863,73686614.00,664409,32.83,2.10,-1.95
30-November-2016,36.60,38.00,36.50,37.65,37.283214474986680176,1413307,3506,52692628.00,501094,35.46,1.50,1.05
29-November-2016,36.00,37.00,35.95,36.55,36.537551967634247136,1208685,3096,44162391.00,296045,24.49,1.05,0.55
28-November-2016,35.00,36.30,34.90,35.90,35.724964001456329010,1403529,3865,50141023.00,383668,27.34,1.40,0.90
25-November-2016,34.80,35.40,34.40,35.05,34.959902617916829014,1519376,3498,53117237.00,409386,26.94,1.00,0.25
24-November-2016,35.55,35.55,34.35,34.65,35.029364854128339012,1511637,4015,52951684.00,554444,36.68,1.20,-0.90
23-November-2016,35.55,36.20,35.10,35.70,35.574269201542961175,1655518,3816,58893843.00,429909,25.97,1.10,0.15
22-November-2016,36.80,36.90,34.75,35.20,35.518925705470363919,2284327,6125,81136841.00,605764,26.52,2.15,-1.60
21-November-2016,38.65,38.65,36.35,36.65,37.324829982875357832,1870988,4224,69834309.00,816094,43.62,2.30,-2.00
18-November-2016,38.40,38.75,37.80,38.40,38.313555597582831257,1110390,3329,42542989.00,383859,34.57,0.95,0.00
17-November-2016,38.80,39.00,38.10,38.40,38.397399713867314137,948511,2755,36420356.00,329670,34.76,0.90,-0.40
16-November-2016,39.80,40.30,38.00,38.50,38.757205931852657994,2433169,5254,94302832.00,856031,35.18,2.30,-1.30
